Name,List,Description,Ingredient Number,Ingredient,Quantity,Quantity Unit,Garnish
Spicy fifty,IBA New Era,"Made with vodka, elderflower cordial, honey syrup, red chili pepper, and fresh lemon juice. It is designed to offer a sweet sensation at first, followed by citrusy freshness, and to finish with a slight heat of the chili. The cocktail was invented in 2005 by Salvatore Calabrese as a signature drink for his bar in the luxury casino 'Fifty' (now closed) owned by Robert Earl, located at 50 St James's Street in central London.",,,,,
,,,,,,,
Spritz,IBA New Era,"Made with Prosecco, bitters and soda water.",,,,,
,,,,,,,
Suffering bastard,IBA New Era,"Name for two different mixed drinks, one being more of a standard cocktail associated with World War II and the other being more of an exotic drink associated with Tiki bars.",,,,,
,,,,,,,
Tipperary,IBA New Era,"Made with Irish whiskey, sweet red Vermouth, green Chartreuse, and Angostura bitters.",,,,,
,,,,,,,
Tommy's margarita,IBA New Era,"Made with tequila, lime juice, and agave nectar or simple syrup and orange bitters served in a cocktail glass. It is distinct from the margarita in its omission of orange liqueur and its preferred substitution of agave nectar to highlight the natural agave notes in tequila.",,,,,
,,,,,,,
Trinidad sour,IBA New Era,"Made with Angostura bitters, orgeat syrup, lemon juice, and rye whiskey.",,,,,
,,,,,,,
Ve.n.to,IBA New Era,"Made with white smooth grappa, lemon juice, honey mix (made with chamomile infusion if desired), chamomile cordial, and optionally egg white.",,,,,
,,,,,,,
Yellow bird,IBA New Era,"Made with white rum, Galliano, triple sec, and lime juice.",,,,,
